what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232558171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232563250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232563250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232563343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232576125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1352232578343
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352232579906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232580093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232581625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232581859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232714968
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1352232718515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1352232725156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232726437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232727546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232728265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232728734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232729187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232729640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232730046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232730453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1352232954156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1352232958328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1352232973687
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352232976343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232976546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232978250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352232978265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352233046812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352233049125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352233050859
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352233051265
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1352233052781
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1352233052812
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1352233052953
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1352233053015
